Artist,Primary Artist 1,Primary Artist 2,Primary Artist 3,Primary Artist 4,Primary Artist 5,Primary Artist 6,Primary Artist 7,Primary Artist 8,Secondary Artist 1,Secondary Artist 2,Secondary Artist 3,Secondary Artist 4,Secondary Artist 5,Secondary Artist 6,Secondary Artist 7,Secondary Artist 8,Secondary Artist 9,Highlight Red
Al B. Sure!,Al B. Sure!,,,,,,,,,,,,,,,,,False
Al Brown's Tunetoppers Featuring Cookie Brown,Al Brown's Tunetoppers,,,,,,,,Cookie Brown,,,,,,,,,False
Al Caiola And His Orchestra,Al Caiola And His Orchestra,,,,,,,,,,,,,,,,,False
Al Casey,Al Casey,,,,,,,,,,,,,,,,,False
Al Casey Combo,Al Casey Combo,,,,,,,,,,,,,,,,,False
Al Corley,Al Corley,,,,,,,,,,,,,,,,,False
Al DeLory,Al DeLory,,,,,,,,,,,,,,,,,False
Al Downing,Al Downing,,,,,,,,,,,,,,,,,False
Al Green,Al Green,,,,,,,,,,,,,,,,,False
Al Greene & The Soul Mate's,Al Greene & The Soul Mate's,,,,,,,,,,,,,,,,,False
Al Hirt,Al Hirt,,,,,,,,,,,,,,,,,False
Al Jarreau,Al Jarreau,,,,,,,,,,,,,,,,,False
Al Kent,Al Kent,,,,,,,,,,,,,,,,,False
Al Martino,Al Martino,,,,,,,,,,,,,,,,,False
Al Stewart,Al Stewart,,,,,,,,,,,,,,,,,False
Al Wilson,Al Wilson,,,,,,,,,,,,,,,,,False
Alabama,Alabama,,,,,,,,,,,,,,,,,False
Alabama Featuring NSYNC,Alabama,,,,,,,,NSYNC,,,,,,,,,False
Alabama Shakes,Alabama Shakes,,,,,,,,,,,,,,,,,False
Alan Jackson,Alan Jackson,,,,,,,,,,,,,,,,,False
Alan Jackson & Jimmy Buffett,Alan Jackson,Jimmy Buffett,,,,,,,,,,,,,,,,False
Alan O'Day,Alan O'Day,,,,,,,,,,,,,,,,,False
Alan Parsons,Alan Parsons,,,,,,,,,,,,,,,,,False
Alan Price Set,Alan Price Set,,,,,,,,,,,,,,,,,False
Alan Walker,Alan Walker,,,,,,,,,,,,,,,,,False
Alana Davis,Alana Davis,,,,,,,,,,,,,,,,,False
Alanis Morissette,Alanis Morissette,,,,,,,,,,,,,,,,,False
Alannah Myles,Alannah Myles,,,,,,,,,,,,,,,,,False
Albert Hammond,Albert Hammond,,,,,,,,,,,,,,,,,False
Albert King,Albert King,,,,,,,,,,,,,,,,,False
Aldo Nova,Aldo Nova,,,,,,,,,,,,,,,,,False
Alec Benjamin + Alessia Cara,Alec Benjamin,Alessia Cara,,,,,,,,,,,,,,,,False
Alejandro Sanz,Alejandro Sanz,,,,,,,,,,,,,,,,,False
Aleman X Neton Vega,Aleman,Neton Vega,,,,,,,,,,,,,,,,False
Alessi,Alessi,,,,,,,,,,,,,,,,,False
Alessia Cara,Alessia Cara,,,,,,,,,,,,,,,,,False
